periode_data;jumlah_penumpang_transjakarta;tanggal;
01/01/2023;363250;1;
02/01/2023;730984;2;
03/01/2023;783228;3;
04/01/2023;798449;4;
05/01/2023;807905;5;
06/01/2023;807617;6;
07/01/2023;533011;7;
08/01/2023;462270;8;
09/01/2023;813091;9;
10/01/2023;813213;10;
11/01/2023;813605;11;
12/01/2023;814531;12;
13/01/2023;819097;13;
14/01/2023;535942;14;
15/01/2023;466899;15;
16/01/2023;811137;16;
17/01/2023;815885;17;
18/01/2023;812864;18;
19/01/2023;811051;19;
20/01/2023;806414;20;
21/01/2023;526233;21;
22/01/2023;472413;22;
23/01/2023;505072;23;
24/01/2023;818341;24;
25/01/2023;811874;25;
26/01/2023;810325;26;
27/01/2023;813532;27;
28/01/2023;487421;28;
29/01/2023;459960;29;
30/01/2023;816629;30;
31/01/2023;816317;31;
01/02/2023;814881;1;
02/02/2023;818742;2;
03/02/2023;819001;3;
04/02/2023;556834;4;
05/02/2023;488204;5;
06/02/2023;825070;6;
07/02/2023;832484;7;
08/02/2023;833095;8;
09/02/2023;831869;9;
10/02/2023;828212;10;
11/02/2023;510122;11;
12/02/2023;422854;12;
13/02/2023;835890;13;
14/02/2023;840872;14;
15/02/2023;846249;15;
16/02/2023;827555;16;
17/02/2023;831455;17;
18/02/2023;510507;18;
19/02/2023;472914;19;
20/02/2023;849058;20;
21/02/2023;847360;21;
22/02/2023;857541;22;
23/02/2023;839067;23;
24/02/2023;796438;24;
25/02/2023;538248;25;
26/02/2023;434772;26;
27/02/2023;816398;27;
28/02/2023;851556;28;
01/03/2023;55942;1;
02/03/2023;24204;2;
03/03/2023;251365;3;
04/03/2023;264137;4;
05/03/2023;230435;5;
06/03/2023;414003;6;
07/03/2023;407278;7;
08/03/2023;411878;8;
09/03/2023;430429;9;
10/03/2023;394506;10;
11/03/2023;270281;11;
12/03/2023;234304;12;
13/03/2023;419100;13;
14/03/2023;437186;14;
15/03/2023;403209;15;
16/03/2023;411942;16;
17/03/2023;392576;17;
18/03/2023;281295;18;
19/03/2023;246132;19;
20/03/2023;413469;20;
21/03/2023;425202;21;
22/03/2023;237001;22;
23/03/2023;217789;23;
24/03/2023;331433;24;
25/03/2023;190316;25;
26/03/2023;188906;26;
27/03/2023;420975;27;
28/03/2023;387151;28;
29/03/2023;392595;29;
30/03/2023;377990;30;
31/03/2023;385400;31;
01/04/2023;217669;1;
02/04/2023;175733;2;
03/04/2023;390929;3;
04/04/2023;390498;4;
05/04/2023;392872;5;
06/04/2023;385699;6;
07/04/2023;187926;7;
08/04/2023;204150;8;
09/04/2023;181400;9;
10/04/2023;373158;10;
11/04/2023;364583;11;
12/04/2023;379875;12;
13/04/2023;381208;13;
14/04/2023;375584;14;
15/04/2023;246273;15;
16/04/2023;195161;16;
17/04/2023;368669;17;
18/04/2023;335221;18;
19/04/2023;227004;19;
20/04/2023;181265;20;DELITA
21/04/2023;131793;21;
22/04/2023;122443;22;
23/04/2023;183995;23;
24/04/2023;202311;24;
25/04/2023;214362;25;
26/04/2023;293532;26;
27/04/2023;322559;27;
28/04/2023;313386;28;
29/04/2023;243623;29;
30/04/2023;241994;30;
01/05/2023;189308;1;
02/05/2023;389178;2;
03/05/2023;391130;3;
04/05/2023;382684;4;
05/05/2023;380701;5;
06/05/2023;255571;6;
07/05/2023;217454;7;
08/05/2023;396416;8;
09/05/2023;398379;9;
10/05/2023;400652;10;
11/05/2023;393284;11;
12/05/2023;383837;12;
13/05/2023;261201;13;
14/05/2023;235244;14;
15/05/2023;396244;15;
16/05/2023;399077;16;
17/05/2023;404735;17;
18/05/2023;220892;18;
19/05/2023;378441;19;
20/05/2023;267638;20;
21/05/2023;244690;21;
22/05/2023;398998;22;
23/05/2023;401465;23;
24/05/2023;400076;24;
25/05/2023;393110;25;
26/05/2023;391089;26;
27/05/2023;266874;27;
28/05/2023;234523;28;
29/05/2023;402805;29;
30/05/2023;404002;30;
31/05/2023;409625;31;
01/06/2023;248240;1;
02/06/2023;280427;2;
03/06/2023;265902;3;
04/06/2023;232667;4;
05/06/2023;399224;5;
06/06/2023;399423;6;
07/06/2023;406281;7;
08/06/2023;403579;8;
09/06/2023;400288;9;
10/06/2023;271681;10;
11/06/2023;237994;11;
12/06/2023;409206;12;
13/06/2023;410297;13;
14/06/2023;412628;14;
15/06/2023;403973;15;
16/06/2023;372722;16;
17/06/2023;272844;17;
18/06/2023;245111;18;
19/06/2023;406081;19;
20/06/2023;423167;20;
21/06/2023;414006;21;
22/06/2023;471272;22;
23/06/2023;403924;23;
24/06/2023;296045;24;
25/06/2023;255095;25;
26/06/2023;405495;26;
27/06/2023;404368;27;
28/06/2023;282160;28;
29/06/2023;162363;29;
30/06/2023;268616;30;
01/07/2023;266403;1;
02/07/2023;262267;2;
03/07/2023;410750;3;
04/07/2023;422607;4;
05/07/2023;425460;5;
06/07/2023;407207;6;
07/07/2023;397741;7;
08/07/2023;305910;8;
09/07/2023;283412;9;
10/07/2023;420365;10;
11/07/2023;424839;11;
12/07/2023;420454;12;
13/07/2023;417414;13;
14/07/2023;406018;14;
15/07/2023;279789;15;
16/07/2023;241523;16;
17/07/2023;408865;17;
18/07/2023;410957;18;
19/07/2023;213426;19;
20/07/2023;411124;20;
21/07/2023;401104;21;
22/07/2023;267510;22;
23/07/2023;228296;23;
24/07/2023;405764;24;
25/07/2023;409326;25;
26/07/2023;410340;26;
27/07/2023;404754;27;
28/07/2023;401208;28;
29/07/2023;286489;29;
30/07/2023;252302;30;
31/07/2023;411622;31;
01/08/2023;1009442;1;
02/08/2023;1000587;2;
03/08/2023;1002236;3;
04/08/2023;979014;4;
05/08/2023;670806;5;
06/08/2023;628885;6;
07/08/2023;1006666;7;HAPIS
08/08/2023;1011406;8;
09/08/2023;1000208;9;
