cases;deaths
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,01;0
0,24;0,01
0,24;0,01
0,24;0,01
0,24;0,01
0,24;0,01
0,24;0,01
0,24;0,01
1,57;0,04
1,57;0,04
1,57;0,04
1,57;0,04
1,57;0,04
1,57;0,04
1,57;0,04
2,88;0,07
2,88;0,07
2,88;0,07
2,88;0,07
2,88;0,07
2,88;0,07
2,88;0,07
3,94;0,11
3,94;0,11
3,94;0,11
3,94;0,11
3,94;0,11
3,94;0,11
3,94;0,11
1,16;0,09
1,16;0,09
1,16;0,09
1,16;0,09
1,16;0,09
1,16;0,09
1,16;0,09
1,03;0,06
1,03;0,06
1,03;0,06
1,03;0,06
1,03;0,06
1,03;0,06
1,03;0,06
2,53;0,08
2,53;0,08
2,53;0,08
2,53;0,08
2,53;0,08
2,53;0,08
2,53;0,08
7,56;0,33
7,56;0,33
7,56;0,33
7,56;0,33
7,56;0,33
7,56;0,33
7,56;0,33
21,44;1,21
21,44;1,21
21,44;1,21
21,44;1,21
21,44;1,21
21,44;1,21
21,44;1,21
43,99;2,79
43,99;2,79
43,99;2,79
43,99;2,79
43,99;2,79
43,99;2,79
43,99;2,79
58,37;4,61
58,37;4,61
58,37;4,61
58,37;4,61
58,37;4,61
58,37;4,61
58,37;4,61
65,63;5,97
65,63;5,97
65,63;5,97
65,63;5,97
65,63;5,97
65,63;5,97
65,63;5,97
63,46;6,25
63,46;6,25
63,46;6,25
63,46;6,25
63,46;6,25
63,46;6,25
63,46;6,25
67,62;5,56
67,62;5,56
67,62;5,56
67,62;5,56
67,62;5,56
67,62;5,56
67,62;5,56
68,3;5,15
68,3;5,15
68,3;5,15
68,3;5,15
68,3;5,15
68,3;5,15
68,3;5,15
72,79;4,87
72,79;4,87
72,79;4,87
72,79;4,87
72,79;4,87
72,79;4,87
72,79;4,87
76,43;4,53
76,43;4,53
76,43;4,53
76,43;4,53
76,43;4,53
76,43;4,53
76,43;4,53
87,2;4,35
87,2;4,35
87,2;4,35
87,2;4,35
87,2;4,35
87,2;4,35
87,2;4,35
91,25;4,18
91,25;4,18
91,25;4,18
91,25;4,18
91,25;4,18
91,25;4,18
91,25;4,18
105,72;4,37
105,72;4,37
105,72;4,37
105,72;4,37
105,72;4,37
105,72;4,37
105,72;4,37
112,98;4,42
112,98;4,42
112,98;4,42
112,98;4,42
112,98;4,42
112,98;4,42
112,98;4,42
129,1;4,69
129,1;4,69
129,1;4,69
129,1;4,69
129,1;4,69
129,1;4,69
129,1;4,69
